id,title,description,min_level,section,image,section_image
1,What Version Control Actually Solves,"Why teams stopped emailing zip files around, and what Git buys you over just saving copies.",1,Getting Started,unit1.png,
2,Installing and Setting Up Git,"Getting Git on your machine and telling it who you are, once, so every commit is signed with your name.",1,Getting Started,unit2.png,
3,Starting a Repository,"Turning a plain folder into a Git repository, or grabbing an existing one from somewhere else.",1,Getting Started,unit3.png,
4,"The Three Areas: Working, Staged, Committed","The mental model everything else in Git builds on — your files, what you're about to save, and what's actually saved.",1,The Core Workflow,unit4.png,
5,Tracking and Staging Changes,Telling Git which changes you actually want in your next snapshot.,1,The Core Workflow,unit5.png,
6,Committing Snapshots,"Saving a staged change permanently, and writing a message your future self will thank you for.",1,The Core Workflow,unit6.png,
7,Reading Your History,"Looking back at what happened and when, without getting lost in the output.",1,The Core Workflow,unit7.png,
8,Comparing Changes,"Seeing exactly what changed between two points, line by line.",1,The Core Workflow,unit8.png,
9,Unstaging and Discarding Changes,Backing out of a mistake before it's even committed.,1,Undoing Things,unit9.png,
10,Fixing Your Last Commit,Quietly correcting a commit message or forgotten file without making a new commit.,1,Undoing Things,unit10.png,
11,Reverting a Commit Safely,"Undoing a change that's already shared with others, without erasing history.",1,Undoing Things,unit11.png,
12,Resetting to an Earlier Point,"Rewinding your branch, and understanding the difference between the soft, mixed, and hard ways to do it.",1,Undoing Things,unit12.png,
13,What a Branch Really Is,The one-sentence idea that makes everything else about branching click.,1,Branching,unit13.png,
14,Creating and Switching Branches,Spinning up an isolated line of work and hopping between them.,1,Branching,unit14.png,
15,Merging Branches Together,"Bringing two lines of work back into one, the two ways Git can do it.",1,Branching,unit15.png,
16,Resolving a Merge Conflict,What to do when Git genuinely can't decide for you — and how to stay calm about it.,1,Branching,unit16.png,
17,Rebasing Instead of Merging,"Replaying your work on top of someone else's, and when that's the better choice.",1,Branching,unit17.png,
18,Cleaning Up History With Interactive Rebase,"Squashing, reordering, and rewording commits before anyone else sees them.",1,Branching,unit18.png,
19,Understanding Remotes,"What ""origin"" actually is, and how your local repo keeps a copy of a remote's branches.",1,Working With Remotes,unit19.png,
20,Pushing and Pulling,"Sending your commits somewhere else, and bringing theirs back.",1,Working With Remotes,unit20.png,
21,Fetch vs. Pull,"Why fetch is the safer, quieter cousin of pull.",1,Working With Remotes,unit21.png,
22,Tracking Branches,Setting up a local branch to know exactly which remote branch it corresponds to.,1,Working With Remotes,unit22.png,
23,Forks and Pull Requests,How open-source projects let anyone propose a change without touching the original repo.,1,Collaborating With Others,unit23.png,
24,Writing Reviewable Commits,"Small, focused commits and honest messages make you easier to work with.",1,Collaborating With Others,unit24.png,
25,Common Team Branching Strategies,"Feature branches, trunk-based development, and Git Flow — what they are and when teams pick each.",1,Collaborating With Others,unit25.png,
26,.gitignore and What Not to Track,"Keeping build output, secrets, and clutter out of your history in the first place.",1,Keeping a Repo Clean,unit26.png,
27,Removing Untracked Files,"Safely clearing out files Git isn't tracking, without touching anything it is.",1,Keeping a Repo Clean,unit27.png,
28,Searching Commit History,"Finding the commit that introduced a line, a bug, or a word, fast.",1,Digging Through History,unit28.png,
29,"Blaming a Line, Fairly","Seeing who last touched a line and why, without it turning into an accusation.",1,Digging Through History,unit29.png,
30,Binary-Searching for a Bug,"Using git bisect to find the exact commit that broke something, automatically.",1,Digging Through History,unit30.png,
31,Tagging a Release,"Marking a specific commit as ""this is version 2.0,"" permanently.",1,"Tags, Stashing, and Cherry-Picks",unit31.png,
32,Stashing Work in Progress,"Setting aside unfinished changes to deal with something urgent, then getting them back.",1,"Tags, Stashing, and Cherry-Picks",unit32.png,
33,Cherry-Picking a Single Commit,Grabbing just one commit from another branch without merging everything else.,1,"Tags, Stashing, and Cherry-Picks",unit33.png,
34,Rewriting History Without Breaking Everyone,Why you never rewrite shared history — and how to force-push safely when you truly must.,1,Safety and Recovery,unit34.png,
35,"Recovering ""Lost"" Commits",The reflog: Git's safety net for commits you thought were gone.,1,Safety and Recovery,unit35.png,
36,Common Git Mistakes and Their Fixes,"The handful of situations every Git user hits eventually, and the calm way out of each.",1,Safety and Recovery,unit36.png,
37,"Submodules, Briefly","Including one Git repository inside another, and why it's trickier than it sounds.",1,Beyond the Basics,unit37.png,
38,Handling Large Files With Git LFS,"Why Git struggles with huge binary files, and the extension that fixes it.",1,Beyond the Basics,unit38.png,
39,How Git Actually Stores Your Data,"Blobs, trees, and commits — the simple data structure underneath every Git command you've learned.",1,Beyond the Basics,unit39.png,
