term,definition,link
Version control,"A system that keeps a history of every change made to a set of files, so you can see what changed, who changed it, when, and go back to any earlier version.",https://en.wikipedia.org/wiki/Version_control
distributed,"In Git, ""distributed"" means every single clone of a project holds the entire history, not just the latest files — so you can commit, browse history, and work fully offline, and there's no one machine whose loss wipes out the project.",
Repository,"A repository (or ""repo"") is a project's full folder of files plus its entire saved history of commits, all tracked together by Git.",
Working Directory,"The actual files on your disk as you see and edit them right now — this is where you make changes before Git knows anything about them.",
Staging Area,"A holding area where you place the specific changes you want in your next commit, using git add — it lets you build a commit out of only some of your edits rather than all of them at once.",
git config,"The command used to set Git's own settings — most importantly your name and email, which get attached to every commit you make. E.g. git config --global user.name ""Ada Lovelace"" tells Git whose name to record.",https://git-scm.com/docs/git-config
--global,"A flag (used with git config) that applies a setting to every repository on your machine instead of just the one you're currently in — leave it off and the setting only applies locally, to the current repo.",
git init,"The command that turns an ordinary folder into a Git repository by creating a hidden .git folder inside it — it doesn't touch, delete, or rename any of your existing files.",https://git-scm.com/docs/git-init
.git folder,"The hidden folder Git creates inside a repository to store all of its own tracking data — the full commit history, branches, and configuration — separate from your actual project files.",
git clone,"The command that downloads a full copy of a remote repository — including its entire commit history, not just a snapshot — onto your own machine.",https://git-scm.com/docs/git-clone
origin,"The name Git gives by default to the remote repository you cloned from or first connected to — it's just a nickname, not a special technical requirement.",
git add,"The command that moves a change from your Working Directory into the Staging Area, marking it as ready to be included in your next commit.",https://git-scm.com/docs/git-add
git status,"The command that reports which files are staged, which are changed but unstaged, and which are untracked — it only reports information and never modifies any of your files.",https://git-scm.com/docs/git-status
git commit,"The command that permanently saves everything currently in the Staging Area as a new snapshot in the repository's history.",https://git-scm.com/docs/git-commit
-m flag,"A shortcut on git commit that lets you type your commit message directly on the command line (e.g. git commit -m ""fix bug""), skipping the text editor Git would otherwise open.",
imperative mood,"A commit-message writing style that reads like a command being given right now — e.g. ""Fix login bug"" instead of ""Fixed login bug"" or ""Fixing login bug.""",
git log,"The command that lists your commit history, newest commit first, showing details like the author and date for each one.",https://git-scm.com/docs/git-log
--oneline,"A flag for git log that compresses each commit down to a single summary line, making the history much faster to scan.",
git diff,"The command that shows your unstaged changes line by line, comparing your current files against your last commit.",https://git-scm.com/docs/git-diff
--staged,"A flag (used with git diff) that shows only the changes currently sitting in the Staging Area, ignoring anything still unstaged.",
git restore,"The command used to undo changes — git restore file.txt discards unstaged edits back to the last commit, while git restore --staged file.txt unstages a file without touching your edits.",https://git-scm.com/docs/git-restore
git commit --amend,"A command that replaces your most recent commit instead of creating a new one — it can update the commit message, the staged changes, or both at once.",https://git-scm.com/docs/git-commit#Documentation/git-commit.txt---amend
git revert,"A command that undoes the changes from an earlier commit by creating a brand-new commit that reverses them — the original commit stays in history, which makes it safe to use even after pushing.",https://git-scm.com/docs/git-revert
git reset,"A command that moves your current branch's pointer to an earlier commit, effectively rewinding it — how it treats your uncommitted changes depends on the mode (--soft, --mixed, or --hard).",https://git-scm.com/docs/git-reset
--hard,"A git reset mode that rewinds your branch and completely deletes any staged or uncommitted changes in your files — the most destructive of the three reset modes.",
--soft,"A git reset mode that rewinds your branch's history but leaves your changes staged and ready to commit again.",
--mixed,"The default git reset mode — it rewinds your branch and unstages your changes, but leaves the actual edits sitting in your files.",
branch,"A movable label that points at one specific commit — not a copy of your files. As you commit, the branch label automatically moves forward to point at your newest commit.",https://git-scm.com/book/en/v2/Git-Branching-Branches-in-a-Nutshell
git switch,"The modern command for moving onto a different existing branch, which also updates your working files to match that branch.",https://git-scm.com/docs/git-switch
checkout,"The older, more multi-purpose command that (among other things) can switch you onto a different branch — largely replaced today by the more focused git switch and git restore.",https://git-scm.com/docs/git-checkout
-c,"A flag on git switch (or -b on git checkout) that creates a brand-new branch and switches onto it in one single step.",
git merge,"The command that combines the commits from another branch into your current branch, creating a single unified history.",https://git-scm.com/docs/git-merge
fast-forward merge,"A merge where your current branch hasn't diverged from the branch being merged in, so Git can simply slide your branch pointer forward — no new merge commit is needed. E.g. you branched off main and only main's branch moved on with your new commits; merging back in is just catching main's pointer up to yours.",https://git-scm.com/book/en/v2/Git-Branching-Basic-Branching-and-Merging
three-way merge,"A merge that happens when both branches have new commits since they split apart, so Git combines both histories into one new commit with two parent commits. E.g. you and a teammate both added commits to your own branches since they diverged from main — merging needs a real combining commit, not just a pointer move.",
merge conflict,"What happens when two branches being merged changed the same lines of a file in different ways — Git can't guess which version you want, so it pauses and marks the conflicting spot in the file itself, wrapping both versions between <<<<<<< and >>>>>>> markers with a ======= line splitting them, for you to edit by hand into what the file should actually say.",https://git-scm.com/docs/git-merge#_how_conflicts_are_presented
git rebase,"A command that replays your branch's commits one by one on top of another branch's latest commit, producing a straight-line history instead of a merge commit.",https://git-scm.com/docs/git-rebase
interactive rebase,"Running git rebase with the -i flag, which opens an editable list of your recent commits so you can reorder, reword, or squash them together before they're replayed.",
squashing,"Combining several separate commits into one single commit, usually done during an interactive rebase to tidy up messy history before sharing it.",
remote,"A version of your repository that lives somewhere else — usually on a server like GitHub — that your local repository can push commits to or pull commits from.",https://git-scm.com/docs/git-remote
git push,"The command that uploads your local commits to a remote repository so others can see them.",https://git-scm.com/docs/git-push
git pull,"The command that downloads new commits from a remote repository and immediately merges them into your current branch — it's really git fetch followed by git merge.",https://git-scm.com/docs/git-pull
git fetch,"The command that downloads new commits from a remote repository without touching your current branch at all — the safer, quieter alternative to git pull when you just want to look first.",https://git-scm.com/docs/git-fetch
tracking branch,"A local branch that's linked to a matching branch on a remote, so commands like git push and git pull know which remote branch to talk to without you naming it every time.",
fork,"Your own personal hosted copy of someone else's repository (typically on GitHub), which you can freely experiment on without affecting the original project.",https://docs.github.com/en/get-started/quickstart/fork-a-repo
pull request,"A request you open on GitHub (or similar) asking a project's maintainer to review and merge changes from your branch or fork into their repository.",https://docs.github.com/en/pull-requests
trunk-based development,"A workflow where everyone merges small changes into the main branch constantly, rather than working for a long time on separate long-lived branches.",https://trunkbaseddevelopment.com/
Git Flow,"A branching strategy built around long-lived branches for scheduled releases, alongside separate feature and hotfix branches — heavier than trunk-based development but structured for planned release cycles.",https://nvie.com/posts/a-successful-git-branching-model/
feature branch,"A branch created to isolate the work for just one specific change or feature, kept separate from main until that work is ready to merge in.",
.gitignore,"A file listing patterns for files and folders that Git should never track — commonly used for build output, dependency folders, and secrets that shouldn't end up in your history.",https://git-scm.com/docs/gitignore
git clean,"A command that deletes untracked files (files Git isn't tracking at all) from your Working Directory — running it with -n first previews what would be deleted, and -f actually deletes it; it never touches tracked files.",https://git-scm.com/docs/git-clean
git log -S,"A flag on git log that searches your commit history for commits which added or removed a specific piece of text, instead of you having to scroll through everything by hand.",
git blame,"A command that shows which commit (and who) last changed every single line of a file — meant for finding context on a change, not for pointing fingers.",https://git-scm.com/docs/git-blame
git bisect,"A tool that helps you find the exact commit that introduced a bug by testing the midpoint between a known-good and known-bad commit and narrowing the search in half each time.",https://git-scm.com/docs/git-bisect
git tag,"A command that permanently marks one specific commit with a memorable name, most often used to mark release versions like v2.0.",https://git-scm.com/docs/git-tag
git stash,"A command that temporarily sets aside your uncommitted changes so you get a clean Working Directory — useful when you need to switch branches but aren't ready to commit yet. git stash pop brings those changes back.",https://git-scm.com/docs/git-stash
